model,m_known_evidences,acc,top3_acc,top5_acc,macro_f1
bernoulli_nb,1,0.1430455956596344,0.21927227462532609,0.2509125083068012,0.1193933414518497
bernoulli_nb,2,0.23326985449459933,0.3064887275468404,0.3424237014114124,0.19388565483646816
bernoulli_nb,3,0.31067932276013926,0.40918558633617996,0.4698549905277671,0.2533119631988621
bernoulli_nb,5,0.5514476150801917,0.7317299967268723,0.812045605578203,0.5157349056590612
bernoulli_nb,8,0.889358367800359,0.9775989129248867,0.9883456819511808,0.8793114493692534
bernoulli_nb,10,0.9603232461491157,0.996173912180994,0.9986560339611787,0.9564248145960831
bernoulli_nb,13,0.988516777258706,0.9996999633012963,0.9998660993245455,0.9838932124378083
bernoulli_nb,17,0.9926949742613146,0.9997247597226768,0.9998660993245455,0.9886501812366276
logreg,1,0.3138805407603575,0.5814066513920711,0.6923334424375874,0.30429289965790224
logreg,2,0.4688011426190972,0.7651878080955355,0.8424336199799645,0.47130028855501477
logreg,3,0.6030464883308041,0.8706767439323156,0.9205770623183662,0.6104818387533651
logreg,5,0.7974033187530375,0.966390930460916,0.9835227779926802,0.801865093942796
logreg,8,0.9411035399371163,0.9975773896311284,0.9993924876761785,0.9280309930597374
logreg,10,0.9724065422878171,0.9997892304182661,0.9999628053679293,0.9601786656272795
logreg,13,0.9880059709782684,0.9999776832207575,0.9999925610735859,0.9826251935764582
logreg,17,0.9934835004612134,0.9999776832207575,0.9999925610735859,0.9915989029871614
